text,label
The scheme saw an estimated  children from poor families being sent to parts of the British Empire between  and   by religious orders and charities who said they would lead better lives,1
Durban s homeless communities reconciliation lunch,1
The next immediate problem that cropped up was how to assist the unfortunate couple  as neither of them possessed a birth certificate  a marriage certificate  or even an identity card  The Samurdhi Officer Dhanapala lamented explaining how agonizing it was for him to bear  when he came across the majority of poor families in the village did not possess even an ID to assist them officially,1
Far more important than the implications for the Economy Gods  is the dollar up or down   last night s outcome will also mean many  many vulnerable New Zealanders will have a better life over the next three years at least,1
To strengthen childsensitive social protection systems  including cash transfer programmes that directly help poor families to pay for food  health care  education and other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their own lives,1
Today  homeless women are still searching for the same thing  A place to sleep and be safe,1
As a member of Care of Hope  Barnett provides food for the street people catered to by the foundation on a regular basis  She  however  does nt mind having to cook to feed the homeless and the needy she said  because this is basically something that is already up her alley,1
Lougene has this message to others who may still be hooked on illegal drugs   Do nt be hopeless because there is hope  You can still change  That s why whenever I see on TV drug users and dealers that were killed  I say to myself they should have been given a chance to change by bringing them to a place such as this,1
A harrowing journey Night falls early in this part of Morocco now and a cold winter looms  prompting the homeless Africans to take their chances before conditions worsen  and amid sometimes harsh treatment by authorities,1
Those from poor families were more likely to leave school without qualifications  have babies before they were   commit crimes  go on welfare and have addiction and other mental health problems in adulthood,1
In the midst of all these alignments and repositioning  the mass of Nigerians have remained poor  unhealthy  uneducated  unemployed  homeless  hungry  destitute and abandoned  But at the first hint of trouble  those with direct access to state resources and those who want direct access will play the ethnic  religious or gender card to achieve the desired result,1
This is in a renewed effort to focus attention on the plight of the homeless  orphaned  abandoned  abused and indigent children across the African continent  a passion which Sirleaf shares with the foundation,1
Together with wife Vicky  Cornell established the Chris amp Vicky Cornell Foundation  a charity that works with vulnerable children  The charity currently focuses on protecting these children from the ravages of homelessness  poverty  abuse and neglect     Cuba concert,1
Born a Christian  my HUMILITY and RESPECT for especially the elderly and young of our society is very firm  apt and intact  In like manner  my DEFENCE and JUSTICE for the helpless and vulnerable is very much same,1
From sleeping rough to becoming a published author  This man s story will make you think twice about ignoring the homeless,1
Bruce has done a fantastic job in training youngsters  especially the youngsters that come from the poorest of the poor families  who would never have even had an opportunity to even buy a cricket bat,1
Volleyball is our reputation in schools  sport  But as an underprivileged school we are not in a position to give all the facilities needed by the players  Moreover these boys come from poor families and sadly the parents too are not in a state to render their support apart from their humble blessings  Our boys are very brave to win two or three titles in four to five tournaments annually which is a great achievement from our point of view   Lakshan added,1
Ms Archibald  had room in her heart for everyone and believed strongly that every person was to be valued and respected   the family said  noting she worked at a homeless shelter prior to moving overseas   She would have had no understanding of the callous cruelty that caused her death,1
Even though many of these students get selected to subordinate services  the service is capable of uplifting their poor families   Impact,1
A child huddled against her pregnant mother  among  other homeless children with their families in Nuwara Eliya town  struggling to shield themselves from freezing temperatures which dropped below eight degrees Celsius  was among the scenes witnessed on Thursday night,1
Iain DuncanSmith has made his feelings about benefits claimants clear  poor families are to be given prepaid cards  loaded with payments  to make sure they spend the money on food  rather than their  selfdestructive habits,1
In addition  Chan revealed that  care and sharing  will be a main theme of the coming budget plan  that is  assisting social groups in need to achieve the goal of supporting the disadvantaged and helping the children to make the society more harmonious,1
Most Buddhist institutions and temples collectively have no programmes to assist refugees  or provide shelter for homeless children or provide rehabilitation services  In contrast  the well established Christian churches and new evangelical groups are active at village and town levels in helping affected individuals eg victims of political violence  come to terms with their grief  Further  they also help people to cope with more mundane problems,1
The AIMMM registers its full sympathy with the hapless female victims of violence and rape crimes  especially the young lady brutalised by beasts on a moving Delhi bus in the night of  December which has rightly agitated a large section of Indians  All such crimes against women and weaker sections  especially minorities  Dalits and Adivasis are highly condemnable and show the whole country in extremely bad light  It is time people  police  judiciary and government agencies stood up to discharge their duties to protect the weak and vulnerable sections of society  The AIMMM urges the government to introduce deterrent punishments for such brutal crimes  It should also hasten with the overdue Police reforms to liberate the police force from the British Raj rules and make it capable and accountable to protect all citizens  human rights and honour of ordinary people,1
He is more than just an employer to his staff  who include young people at risk and single parents  Food and rent are paid for  and he chips in for necessities like children s allowances or transport fees if someone is in need  Every month  the trained prison counsellor also holds mentorship sessions for his staff,1
